Category of Data,Table,Column,ct_name,code_iaids,meaning,Data Type eADMS,Length eADMS,short_desc,Question_Def,Code meaning,typeofchange,Change_notes
eADMS Data,aircraft,dest_apt_id,NULL,NULL,NULL,char,4,Destination Airport Code,The identification code for the intended destination airport. A limited airport identifier lookup tool is available from the IATA at http://www1.iata.org/codes/index.htm.,NULL,NULL,NULL
eADMS Data,aircraft,dest_city,NULL,NULL,NULL,varchar,15,Destination City,Indicate the city address of the involved aircraft's intended destination.,NULL,NULL,NULL
eADMS Data,aircraft,dest_country,NULL,NULL,NULL,char,3,Destination Country,Indicate the country address of the involved aircraft's intended destination.,NULL,NULL,NULL
eADMS Data,aircraft,dest_same_local,ct_dest_same_local,LOCL,"dest & departure same, accident can occur anywhere",char,4,Destination Same as Local Flt,"Indicate whether the accident flight was intended as a local flight, returning to the departure airport with no intermediate stops. Examples of local flights might include sightseeing, flight instruction, pleasure, or proficiency flights.",NULL,NULL,NULL
eADMS Data,aircraft,dest_same_local,ct_dest_same_local,SAME,crash at destination city,char,4,Destination Same as Local Flt,Indicate whether the accident location was the intended destination of the flight.,NULL,NULL,NULL
eADMS Data,aircraft,dest_state,NULL,NULL,NULL,char,2,Destination State,The state address of the involved aircraft's intended destination.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_apt_id,NULL,NULL,NULL,char,4,Departure Airport Code.,The identification code for the involved aircraft's departure airport. A limited airport identifier lookup tool is available from the IATA at http://www1.iata.org/codes/index.htm.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_city,NULL,NULL,NULL,varchar,15,Departure City,The city address of the involved aircraft's last departure point prior to the event.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_country,NULL,NULL,NULL,char,3,Departure Country.,The country address of the involved aircraft's last departure point prior to the event.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_pt_same_ev,NULL,N,No,char,1,Departure Point Same as Event,Indicate whether the event took place at the point of departure.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_pt_same_ev,NULL,Y,Yes,char,1,Departure Point Same as Event,Indicate whether the event took place at the point of departure.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_state,NULL,NULL,NULL,char,2,Departure State,The state address of the involved aircraft's last departure point prior to the event.,NULL,NULL,NULL
eADMS Data,aircraft,dprt_time,NULL,NULL,NULL,smallint,NULL,Departure Time,"The time of the involved aircraft's most recent departure prior to the event. The local time of departure is in 4-digit, 24-hour format.",NULL,NULL,NULL
eADMS Data,aircraft,dprt_timezn,NULL,NULL,NULL,char,3,Departure Time Zone,The time zone corresponding to the indicated time of departure,NULL,NULL,NULL
eADMS Data,aircraft,elt_aided_loc_ev,NULL,N,No,char,1,ELT Aided Location of Event Site,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_aided_loc_ev,NULL,U,Unknown,char,1,ELT Aided Location of Event Site,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_aided_loc_ev,NULL,Y,Yes,char,1,ELT Aided Location of Event Site,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, and the transmitter was activated as a result of the accident, indicate whether the transmitted signal aided in locating the accident aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_install,NULL,N,No,char,1,ELT Installed,"Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",NULL,NULL,NULL
eADMS Data,aircraft,elt_install,NULL,U,Unknown,char,1,ELT Installed,"Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",NULL,NULL,NULL
eADMS Data,aircraft,elt_install,NULL,Y,Yes,char,1,ELT Installed,"Indicate whether the accident aircraft had an Emergency Locator Transmitter (ELT) installed. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. This signal can then be traced to identify a downed aircraft. With some exceptions, US-registered airplanes are required to have an ELT installed.  Refer to 14 CFR 91.207 for regulations regarding ELT requirements and inspections.",NULL,NULL,NULL
eADMS Data,aircraft,elt_oper,NULL,N,No,char,1,ELT Activated,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_oper,NULL,U,Unknown,char,1,ELT Activated,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_oper,NULL,Y,Yes,char,1,ELT Activated,"If the accident aircraft had an Emergency Locator Transmitter (ELT) installed, indicate whether the transmitter was activated as a result of the accident. The ELT is a transmitter that contains an inertia switch that activates in the event of an impact. The transmitted signal can then be used to locate a downed aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,elt_type,ct_elt_type,C126,C126,char,4,ELT Type,The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.,Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C126,FieldNew,"New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
eADMS Data,aircraft,lchg_date,NULL,NULL,NULL,datetime,NULL,Date of most recent change to record,NULL,NULL,NULL,NULL
eADMS Data,aircraft,lchg_userid,NULL,NULL,NULL,varchar,18,User who most recently changed record,NULL,NULL,NULL,NULL
eADMS Data,aircraft,med_type_flight,ct_air_med,DISC,Discretionary,varchar,15,Medical Flight,"If the involved aircraft was operating as a medical flight, indicate the type of medical service it was providing.",NULL,NULL,NULL
eADMS Data,aircraft,med_type_flight,ct_air_med,MEDE,Medical Emergency,varchar,15,Medical Flight,"If the involved aircraft was operating as a medical flight, indicate the type of medical service it was providing.",NULL,NULL,NULL
eADMS Data,aircraft,elt_type,ct_elt_type,C91,C91,char,4,ELT Type,The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.,Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C91,FieldNew,"New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
eADMS Data,aircraft,elt_type,ct_elt_type,C91A,C91-A,char,4,ELT Type,The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.,Emergency Locator Transmitter (ELT) built to meet FAA Technical Service Order (TSO) C91a,FieldNew,"New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
eADMS Data,aircraft,elt_type,ct_elt_type,UNK,Unknown,char,4,ELT Type,The elt_type field is used to inicate the FAA Technical Service Order (TSO) an aircraft Emergency Locator Transmitter was designed under.,Emergency Locator Transmitter (ELT) of unknown type,FieldNew,"New - With the implementation of eADMS in 2006, this field and variables were added to identify the type of emergency locator transmitter (ELT) installed in the accident aircraft."
eADMS Data,aircraft,ev_id,NULL,NULL,NULL,char,14,Unique Identification for Each Event,"Each event is assigned a unique 10- or 11- digit alphanumeric code in the database. This code, used in conjunction with the aircraft_key variable, is used to reference all database records. All database queries using a relational database (e.g., MS Access) should link tables using the ev_id variable.",NULL,NULL,NULL
eADMS Data,aircraft,evacuation,NULL,N,No,char,1,Evacuation occurred,"Indicate whether an emergency evacuation was performed. ""Emergency Evacuation"" is any exit from the aircraft in which an emergency egress system is involved. This may also include egress through the main cabin door due to an emergency.",NULL,NULL,NULL
eADMS Data,aircraft,evacuation,NULL,Y,Yes,char,1,Evacuation occurred,"Indicate whether an emergency evacuation was performed. ""Emergency Evacuation"" is any exit from the aircraft in which an emergency egress system is involved. This may also include egress through the main cabin door due to an emergency.",NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,91,Part 91: General Aviation,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,103,Part 103: Ultralight,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,105,Part 105: Parachute Jumping,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,121,Part 121: Air Carrier,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,125,"Part 125: 20+ Pax,6000+ lbs",char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,127,Part 127: Sched AirCar w/Heli.,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,129,Part 129: Foreign,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,133,Part 133: Rotorcraft Ext. Load,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,135,Part 135: Air Taxi & Commuter,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,137,Part 137: Agricultural,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,141,Part 141: Pilot Schools,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,091F,Part 91F: Special Flt Ops.,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,Part 91F covers special flight operations. Examples include operations such as aerobatics and glider tow.,ChoiceDrop,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,far_part,ct_fars,091K,Part 91 Subpart K: Fractional,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,14 CFR Part 91 K (effective Dec. 2004) prescribes regulations governing managed fractional ownerships,ChoiceAdd,"New - With the implementation of eADMS in 2006, these variables were added to specify the type of Public Use operation the accident aircraft was involved engaged in at the time of the accident. The change in reporting of this variable corresponds to a cha"
eADMS Data,aircraft,far_part,ct_fars,ARMF,Armed Forces,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,NUSC,"Non-U.S., Commercial",char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,NUSN,"Non-U.S., Non-Commercial",char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,far_part,ct_fars,PUBF,Public Use - Federal,char,4,Federal Aviation Reg. Part,The applicable regulation part (14 CFR) or authority the aircraft was operating under at the time of the accident.,"Refers to Public Use operations conducted under the authority of the federal government. ""Public Use"" refers to certain government aircraft operations, including law-enforcement, low-level observation, aerial application, firefighting, search and rescue,",ChoiceAdd,"New - With the implementation of eADMS in 2006, these variables were added to specify the type of Public Use operation the accident aircraft was involved engaged in at the time of the accident. The change in reporting of this variable corresponds to a cha"
